电影名,评分,导演,演员,月份,类型,时长,语言,评论数,地区
['冷溪营地 Camp Cold Brook'],['4.1'],['安迪·帕尔默'],"['丹妮尔·哈丽丝', '查德·迈克尔·墨瑞', '考特尼·盖恩斯', '凯特·琼斯', '迈克尔·埃里克·里德', '康迪斯·德·维瑟', '朱丽叶·吉达', 'Mary Kathryn Bryant', 'Jason Van Eman', 'Corbin Tyler']",['08'],['恐怖'],['86'],[' 英语'],['121'],[' 美国']
['小猪佩奇过大年'],['3.9'],"['张大鹏', '内维尔·阿斯特利', '马克·贝克', '尤里斯·范·侯辛', '莎拉·罗珀']","['朱亚文', '刘芸', '归亚蕾', '方青卓', '李大光', '常蓝天', '王圣迪', '单禹豪', '陈奕雯', '张安琪', '符冲', '范楚绒', '姜玉玲', '周一菡', '孙晔', '贾邱']",[],"['动画', '歌舞', '家庭', '儿童']",['81'],[' 汉语普通话 / 英语'],['12058'],[' 中国大陆 / 英国']
['独孤：倒回 독고 리와인드'],['8.1'],['崔恩重'],"['吴世勋', '姜美娜', '李济延', '金熙镇', '姜多贤', '安普贤']",['09'],['动作'],['200'],[' 韩语'],['3197'],[' 韩国']
['神童 The Prodigy'],['6.0'],['尼古拉斯·麦卡锡'],"['泰勒·席林', '布列塔尼·艾伦', '杰克逊·罗伯特·斯科特', '科鲁姆·费奥瑞', '彼得·穆尼', '奥妮克·阿德莉', '艾丽莎·莫勒切里', '宝拉·布德罗', '保罗·福托', '戴维·科赫史密斯', '马克·史派克', '迈克尔·戴森']",[],"['惊悚', '恐怖']",['92'],[' 英语'],['5953'],[' 美国 / 加拿大']
['黄阿丽：铁娘子 Ali Wong: Hard Knock Wife'],['8.3'],['杰伊·卡拉斯'],['黄阿丽'],['05'],"['喜剧', '脱口秀']",['64'],[' 英语'],['9026'],[' 美国']
['妈妈不在家 Los Lobos'],['7.1'],['塞缪尔·基希'],"['玛莎·雷耶斯·阿里娅斯', '马克西米利亚诺·纳贾·马奎兹', '莱昂纳多·纳贾·马奎兹', '刘慈慈', 'Johnson T. Lau', 'Kevin Medina', 'Josiah Grado', 'Marvin Ramírez', 'Alejandro Banteah', 'Edwin Ramírez', 'Aylin Payen', 'Shacty Díaz', 'María Teresa Herrera', 'Amy Puente', 'Celine R. Lopez']",[],"['剧情', '儿童']",['94'],[' 西班牙语 / 英语 / 粤语'],['71'],[' 墨西哥 / 美国']
['红色之子·单刀赴会'],['7.1'],['王路沙'],"['李肖宁', '契那日图', '李春明', '塔娜花日', '刚照日嘎', '白那日苏', '阿古', '刘鹏云']",[],"['动作', '传记', '历史']",['96'],[],['807'],[' 中国大陆']
['八年级 Eighth Grade'],['6.6'],['博·伯翰'],"['艾尔西·费舍尔', '约什·汉密尔顿', '艾米丽·罗宾森', '杰克·莱恩', '丹尼尔·祖尔格哈德利', '弗莱德·赫钦格', '艾曼尼·刘易斯', '卢克·普拉尔', '凯瑟琳·奥利维雷', '诺拉·姆林斯', '蜜西·雅格', '格雷戈·克罗', '弗兰克·迪尔', '黛博拉·安格', '威廉·温施', '丹·陈', '汤姆·斯特拉特福']","['01', '08']",['喜剧'],['94'],[' 英语'],['8295'],[' 美国']
['错误教育 The Miseducation of Cameron Post'],['6.6'],['戴思睿·阿卡万'],"['科洛·莫瑞兹', '萨莎·莱恩', '詹妮弗·艾莉', '小约翰·加拉赫', '福勒斯特·古德勒克', '奎恩·谢法德', '斯宾塞·李斯特', '艾米莉· 斯凯格斯', '艾萨克·吉·索尔斯坦']","['01', '08']","['剧情', '同性']",['91'],[' 英语'],['5968'],[' 美国']
['独家记忆番外之再见爱'],['6.5'],['刘畅'],"['张樟', '邓郁立', '方文强', '叶子诚', '李欢', '张超', '李婷婷', '陈博豪', '孙嘉灵', '李九霄', '龚锐']",[],['爱情'],['90'],[' 汉语普通话'],['3900'],[' 中国大陆']
['爱上谎言的女人 嘘を愛する女'],['6.4'],['中江和仁'],"['长泽雅美', '高桥一生', '内藤大湖', '川荣李奈', '黑木瞳', '吉田钢太郎']",['01'],"['剧情', '悬疑']",['118'],[' 日语'],['6670'],[' 日本']
['戈梅拉岛 La Gomera'],['6.4'],['柯内流·波蓝波宇'],"['弗拉德·伊凡诺夫', '卡特里内尔·马龙', '罗迪卡·拉泽尔', '阿古斯丁·比利亚龙加', '萨宾·塔布瑞亚', 'István Teglas', 'Cristóbal Pinto', 'Antonio Buíl', 'George Pistereanu', 'David Agranov', 'Andrei Barbu', 'Andrei Ciopec', 'Sergiu Costache', 'Julieta Szönyi']",[],"['喜剧', '犯罪']",['97'],[' 罗马尼亚语 / 英语 / 西班牙语'],['1718'],[' 罗马尼亚 / 法国 / 德国 / 瑞典']
['恋爱保质期 Almost Love'],['6.4'],['麦克·道尔'],"['凯特·沃什', '科林·唐纳', '约翰·道曼', '奥古斯图斯·珀如', '纳迪雅·达珍妮', '斯科特·埃文斯', '克里斯·亨利·科菲', '吉普森·弗雷泽', '玛丽琳·索科尔', '杰克·欧康纳', 'Chaz Lamar Shepherd', 'Brian Marc', 'Michelle Buteau', '克里斯托弗·格雷']",[],"['喜剧', '爱情']",['94'],[' 英语'],['222'],[' 美国']
['爸，我一定行的'],['6.3'],['蓝鸿春'],"['郑润奇', '郑鹏生', '张咏娴', '李树浩', '林俊鑫', '陈锦标', '周素琴', '郑辉松', '张翼就', '陈昱曦', '苏细珍']",['08'],"['剧情', '喜剧', '家庭']",['100'],[' 潮汕方言 / 汉语普通话'],['6276'],[' 中国大陆']
['二之国 二ノ国'],['5.4'],['百濑义行'],"['山崎贤人', '新田真剑佑', '永野芽郁', '宫野真守', '津田健次郎', '坂本真绫', '山寺宏一', '梶裕贵', '伊武雅刀', '室毅']",[],['动画'],['106'],[' 日语'],['479'],[' 日本']
['寻找罗麦'],['4.4'],['王超'],"['韩庚', '杰瑞米·埃尔卡伊姆', '菅纫姿', '阿丽斯·德·朗克桑', '海伦·文森特', '雷诺·科恩', '胡瑞杰', '安迪·吉雷', '邓紫衣', '罗阜艺', '朱宏奇']",['04'],"['剧情', '爱情']",['83'],[' 汉语普通话 / 英语 / 藏语 / 法语'],['5748'],[' 中国大陆 / 法国']
['2019湖南卫视嗨爆夜'],[''],[],"['王一博', '刘宪华', '沈腾', '尚雯婕', '吴亦凡', '肖战', '蔡依林', '大张伟', '黄晓明', '吉克隽逸', '江疏影', '江映蓉', '刘宇宁', '那吾克热·玉素甫江', 'R1SE', '容祖儿', '魏大勋', '王菊', '吴青峰', '汪苏泷', '许魏洲', '杨洋', '周笔畅', '周冬雨', '张靓颖', '郑爽', '赵薇']",[],"['歌舞', '真人秀']",[],[' 汉语普通话'],[],[' 中国大陆']
['丹尼尔·斯洛斯：X Daniel Sloss: X'],['9.3'],['丹尼尔·斯洛斯'],['丹尼尔·斯洛斯'],[],"['喜剧', '脱口秀']",['89'],[' 英语'],['700'],[' 美国']
['心理测量者SS1：罪与罚 PSYCHO-PASS サイコパス Sinners of the System Case.1「罪と罰」'],['7.1'],['盐谷直义'],"['野岛健儿', '佐仓绫音', '弓场沙织', '平井祥惠', '冈宽惠', '小山力也', '齐藤贵美子', '多田野曜平', '中川庆一', '花泽香菜', '东地宏树', '樱井孝宏', '伊藤静', '泽城美雪']",[],"['动作', '动画', '犯罪']",['59'],[' 日语'],['2907'],[' 日本']
['李尔王 King Lear'],['7.0'],['理查德·艾尔'],"['安东尼·霍普金斯', '艾玛·汤普森', '艾米丽·沃森', '弗洛伦丝·皮尤', '吉姆·布劳德本特', '吉姆·卡特', '托比亚斯·门基斯', '约翰·麦克米兰', '安东尼·凯尔夫', '西蒙·曼永达', 'Chukwudi Iwuji', '卡尔·约翰逊', 'Samuel Valentine', '安德鲁·斯科特', '克里斯托弗·埃克莱斯顿', '阿琳泽·科纳', '约翰·斯坦丁', '拉裴尔·德普雷', '肖恩·狄克逊', '通恰伊·古奈什', '所罗门·塔伊沃·贾斯提费尔德', '伯纳多·桑托斯']",['05'],['剧情'],['115'],[' 英语'],['2779'],[' 英国']
['余波 The Aftermath'],['6.6'],['詹姆斯·肯特'],"['亚历山大·斯卡斯加德', '凯拉·奈特莉', '杰森·克拉克', '凯特·菲利普斯', '费昂·奥谢', '雅尼克·许曼', '亚历山大·谢尔', '吉姆·海伊', '弗雷德里克·普雷斯顿', '汤姆·贝尔', 'Abigail Rice', 'Logan Hillier', 'Flora Thiemann', 'Joseph Arkley', '克劳迪娅·瓦西科娃']",[],"['剧情', '爱情', '战争']",['108'],[' 英语'],['5075'],[' 英国 / 美国 / 德国']
['黑夜吞噬世界 La nuit a dévoré le monde'],['6.5'],['多米尼克·罗彻'],"['安德斯·丹尼尔森·李', '格什菲·法拉哈尼', '德尼·拉旺', '西格丽·博阿茨兹', '大卫·卡门诺斯']",['03'],['恐怖'],['93'],[' 挪威语 / 英语'],['4587'],[' 法国']
['金翅雀 The Goldfinch'],['6.5'],['约翰·克劳利'],"['安塞尔·艾尔高特', '妮可·基德曼', '莎拉·保罗森', '菲恩·伍法德', '阿什莉·卡明斯', '卢克·威尔逊', '杰弗里·怀特', '阿奈林·巴纳德', '卢克·克莱恩坦克', '彼得·雅各布森', '丹尼斯·欧哈拉', '薇拉·菲茨杰拉德', '罗伯特·乔伊', '乔伊·斯洛特尼克', '奥克斯·费格雷', '卡罗琳·戴', '马德奥·范·德·格里恩', '桃乐丝·麦卡锡', '艾米·劳伦斯', '戈登·威纳里克', '蕾切尔·德·拉·托尔', '尼基·陶起亚', '罗伯特·约翰·加拉格尔', '汉克·罗杰森', '阿尔顿·菲茨杰拉德·怀特', '本·霍兰兹沃思', '瑞克·博兰德', '阿尔玛·奎尔沃']",[],['剧情'],['149'],[' 英语'],['2541'],[' 美国']
['使徒 Apostle'],['6.3'],['加雷斯·埃文斯'],"['丹·史蒂文斯', '麦克·辛', '露西·宝通', '比尔·米尔纳', '理查德·艾尔芬', '克里斯汀·弗劳赛斯', '马克·路易斯·琼斯', '埃伦·里斯', '保罗·希金斯', '罗斯·奥亨尼西', '斯图尔特·麦克尼尔', '安妮斯·埃尔维']",['10'],"['悬疑', '惊悚', '恐怖']",['130'],[' 英语'],['4811'],[' 美国']
['热情花招 ホットギミック ガールミーツボーイ'],['6.3'],['山户结希'],"['堀未央奈', '清水寻也', '板垣瑞生', '间宫祥太朗', '樱田日和', '上村海成', '吉川爱', '志磨辽平', '黑泽明日香', '高桥和也', '反町隆史', '吉冈里帆']",[],['剧情'],['119'],[' 日语'],['1281'],[' 日本']
